category,answer_type,query,gold_answer,model_answer,hit@k,rr@k,recall@k,f1,em,acc
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.3333333333333333,1.0,,,0.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,The Warranty Duration is not explicitly stated in the provided contract clauses.,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.16666666666666666,1.0,,,0.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,Yes,0,0.0,0.0,,,0.0
Document Name,TEXT,What is the Document Name in this agreement?,COMMERCIALIZATION AND LICENSE AGREEMENT,**Commercialization and License Agreement**,1,0.25,1.0,1.0,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Vyera Pharmaceuticals, LLC ('Vyera""); CytoDyn Inc. (""CytoDyn""); CytoDyn and Vyera (“Party” and collectively as the “Parties.”)","Cytodyn Inc.; Vyera Pharmaceuticals, LLC; Cytodyn; Vyera",1,1.0,1.0,0.6086956521739131,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,12/17/19,12/17/2019,0,0.0,0.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,12/17/19,01/01/2024,0,0.0,0.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,New York,New York,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.05555555555555555,1.0,,,0.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,1.0,1.0,,,0.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.3333333333333333,1.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.07142857142857142,1.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.25,1.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.3333333333333333,1.0,,,0.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,1.0,1.0,,,0.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,1.0,1.0,,,0.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,The Warranty Duration is not explicitly stated in the provided contract clauses.,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.16666666666666666,1.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,"The Document Name in this agreement is ""Non-Exclusive License Agreement - for Sales.""",1,0.16666666666666666,1.0,0.631578947368421,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"The John Hopkins University (""JHU""); Virtuoso Surgical, Inc. (""Company"")","Virtuoso Surgical, Inc.;The Johns Hopkins University;Company;JHU",1,0.05,1.0,0.8888888888888888,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,5/3/16,05/11/2016,1,0.125,1.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,5/11/16,01/01/2024,0,0.0,0.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,Maryland,Maryland,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.05263157894736842,1.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.07692307692307693,1.0,,,0.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.07692307692307693,1.0,,,0.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,1.0,1.0,,,0.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,0,0.0,0.0,,,0.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.3333333333333333,1.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.25,1.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.25,1.0,,,1.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,1.0,1.0,,,0.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.14285714285714285,1.0,,,0.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,The warranty duration is not explicitly stated in the provided contract clauses.,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Document Name,TEXT,What is the Document Name in this agreement?,Network Build and Maintenance Agreement,"The Document Name in this agreement is ""Network Build and Maintenance Agreement.""",1,0.125,1.0,0.5882352941176471,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Commnet Wireless, LLC (""Vendor""); AT&T Mobility LLC (""AT&T"") (""Party"" or in the plural as the ""Parties."")","AT&T Mobility LLC;Commnet Wireless, LLC;Vendor;AT&T",1,1.0,1.0,0.7142857142857143,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,7/31/19,07/31/2019,1,0.5,1.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,7/31/19,01/01/2024,0,0.0,0.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,New York,New York,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.5,1.0,,,0.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,1.0,1.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,1.0,1.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,1.0,1.0,,,1.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,0.2,1.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
